"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)"	"sick"	"CC"	"sickCC"	0.40216881261986	-0.575662398280219	0.0965411318731208	5.88624982089669e-09	4.13285195884198e-07	5.88624982089669e-09	2.93542930972602e-07	NA	"abundance"	37	37
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis"	"sick"	"CC"	"sickCC"	0.494889342419771	-0.575662398280219	0.113173445619091	6.39400443702698e-09	4.13285195884198e-07	6.39400443702698e-09	2.93542930972602e-07	NA	"abundance"	37	37
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis"	"sick"	"CC"	"sickCC"	0.554431814808891	-0.575662398280219	0.121369835400588	4.56968896056509e-09	4.13285195884198e-07	4.56968896056509e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)"	"sick"	"CC"	"sickCC"	0.489306573578271	-0.575662398280219	0.108275248563078	4.2096459651475e-09	4.13285195884198e-07	4.2096459651475e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-5097: L-lysine biosynthesis VI"	"sick"	"CC"	"sickCC"	0.516283677550383	-0.575662398280219	0.113686957720632	4.11641343234237e-09	4.13285195884198e-07	4.11641343234237e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)"	"sick"	"CC"	"sickCC"	0.422293266864002	-0.575662398280219	0.0949660432582026	2.74787237408702e-09	4.13285195884198e-07	2.74787237408702e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"	"sick"	"CC"	"sickCC"	0.483021641165136	-0.575662398280219	0.110494513147622	5.67477198565314e-09	4.13285195884198e-07	5.67477198565314e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"	"sick"	"CC"	"sickCC"	0.475547255265784	-0.575662398280219	0.107543575584288	4.63372851200461e-09	4.13285195884198e-07	4.63372851200461e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)"	"sick"	"CC"	"sickCC"	0.515102662464228	-0.575662398280219	0.112596778881207	4.16999279551078e-09	4.13285195884198e-07	4.16999279551078e-09	2.93542930972602e-07	NA	"abundance"	37	37
"PWY-7977: L-methionine biosynthesis IV"	"sick"	"CC"	"sickCC"	0.367965476144265	-0.575662398280219	0.089516974497373	4.62926719180246e-09	4.13285195884198e-07	4.62926719180246e-09	2.93542930972602e-07	NA	"abundance"	37	37
"TRNA-CHARGING-PWY: tRNA charging"	"sick"	"CC"	"sickCC"	0.453134404898887	-0.575662398280219	0.10412804745934	5.09500563961041e-09	4.13285195884198e-07	5.09500563961041e-09	2.93542930972602e-07	NA	"abundance"	37	37
"ARO-PWY: chorismate biosynthesis I"	"sick"	"CC"	"sickCC"	0.501055362687702	-0.575662398280219	0.119569713513437	1.24392995903833e-08	4.48030986025369e-07	1.24392995903833e-08	3.18221727064432e-07	NA	"abundance"	37	37
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)"	"sick"	"CC"	"sickCC"	0.451675824739713	-0.575662398280219	0.110596739209669	1.16289937679426e-08	4.48030986025369e-07	1.16289937679426e-08	3.18221727064432e-07	NA	"abundance"	37	37
"NONMEVIPP-PWY: methylerythritol phosphate pathway I"	"sick"	"CC"	"sickCC"	0.682142790065487	-0.575662398280219	0.148798249030306	1.14609991497261e-08	4.48030986025369e-07	1.14609991497261e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)"	"sick"	"CC"	"sickCC"	0.462176354359326	-0.575662398280219	0.112297962906195	1.28053341263978e-08	4.48030986025369e-07	1.28053341263978e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-1042: glycolysis IV"	"sick"	"CC"	"sickCC"	0.524286702827094	-0.575662398280219	0.121166040579203	9.50991752013408e-09	4.48030986025369e-07	9.50991752013408e-09	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-5103: L-isoleucine biosynthesis III"	"sick"	"CC"	"sickCC"	0.458014533798617	-0.575662398280219	0.1110201557421	1.10151056054164e-08	4.48030986025369e-07	1.10151056054164e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-5667: CDP-diacylglycerol biosynthesis I"	"sick"	"CC"	"sickCC"	0.460352196046871	-0.575662398280219	0.111414973486923	1.08649133023775e-08	4.48030986025369e-07	1.08649133023775e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-6609: adenine and adenosine salvage III"	"sick"	"CC"	"sickCC"	0.472383370695742	-0.575662398280219	0.113508489029949	1.04234170184014e-08	4.48030986025369e-07	1.04234170184014e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-7199: pyrimidine deoxyribonucleosides salvage"	"sick"	"CC"	"sickCC"	0.408592333013856	-0.575662398280219	0.104295041572891	1.323298270961e-08	4.48030986025369e-07	1.323298270961e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY0-1319: CDP-diacylglycerol biosynthesis II"	"sick"	"CC"	"sickCC"	0.459185239368383	-0.575662398280219	0.111375618626689	1.00079222686844e-08	4.48030986025369e-07	1.00079222686844e-08	3.18221727064432e-07	NA	"abundance"	37	37
"PWY-6629: superpathway of L-tryptophan biosynthesis"	"sick"	"CC"	"sickCC"	0.691278559795812	-0.575662398280219	0.152721971759036	1.5158407085103e-08	4.89892156250373e-07	1.5158407085103e-08	3.479543444535e-07	NA	"abundance"	37	37
"PWY-3841: folate transformations II (plants)"	"sick"	"CC"	"sickCC"	0.481651109074538	-0.575662398280219	0.118545673825798	1.64242259792502e-08	5.07722811793343e-07	1.64242259792502e-08	3.60618874761798e-07	NA	"abundance"	37	37
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate"	"sick"	"CC"	"sickCC"	0.571268787503108	-0.575662398280219	0.13367392570644	1.76116071726184e-08	5.21743862488822e-07	1.76116071726184e-08	3.70577567590513e-07	NA	"abundance"	37	37
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II"	"sick"	"CC"	"sickCC"	0.329598285407218	-0.575662398280219	0.0960674847342214	2.65695541123989e-08	7.55638118956625e-07	2.65695541123989e-08	5.36704993070458e-07	NA	"abundance"	37	37
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis"	"sick"	"CC"	"sickCC"	0.329598285407218	-0.575662398280219	0.0960674847342214	2.85523567011836e-08	7.80797139020829e-07	2.85523567011836e-08	5.5457462054222e-07	NA	"abundance"	37	37
"CALVIN-PWY: Calvin-Benson-Bassham cycle"	"sick"	"CC"	"sickCC"	0.311764896502126	-0.575662398280219	0.0940766897126965	3.41326573671807e-08	8.98826644002426e-07	3.41326573671807e-08	6.38407110015788e-07	NA	"abundance"	37	37
"PWY-5686: UMP biosynthesis I"	"sick"	"CC"	"sickCC"	0.706519180874143	-0.575662398280219	0.165893599819108	4.93857545968979e-08	1.24021632067598e-06	4.93857545968979e-08	8.8088500976283e-07	NA	"abundance"	37	37
"VALSYN-PWY: L-valine biosynthesis"	"sick"	"CC"	"sickCC"	0.446382939750763	-0.575662398280219	0.121913446353799	5.05854758081625e-08	1.24021632067598e-06	5.05854758081625e-08	8.8088500976283e-07	NA	"abundance"	37	37
"PWY-7790: UMP biosynthesis II"	"sick"	"CC"	"sickCC"	0.709696778307247	-0.575662398280219	0.16868352992474	5.75231968724665e-08	1.36329976587746e-06	5.75231968724665e-08	9.68307147353187e-07	NA	"abundance"	37	37
"PWY-7791: UMP biosynthesis III"	"sick"	"CC"	"sickCC"	0.709696778307247	-0.575662398280219	0.16868352992474	6.55564728058167e-08	1.50356942467534e-06	6.55564728058167e-08	1.06793608925605e-06	NA	"abundance"	37	37
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"sick"	"CC"	"sickCC"	0.45006147320879	-0.575662398280219	0.12748612643181	9.01649671591898e-08	2.00335286406825e-06	9.01649671591898e-08	1.42291588798096e-06	NA	"abundance"	37	37
"1CMET2-PWY: folate transformations III (E. coli)"	"sick"	"CC"	"sickCC"	0.270160142502662	-0.575662398280219	0.0961357110592469	1.06971768332187e-07	2.17305506526243e-06	1.06971768332187e-07	1.54344980022155e-06	NA	"abundance"	37	37
"PWY-5695: inosine 5'-phosphate degradation"	"sick"	"CC"	"sickCC"	0.0775320634634884	-0.575662398280219	0.0509765781965382	1.04770644826502e-07	2.17305506526243e-06	1.04770644826502e-07	1.54344980022155e-06	NA	"abundance"	37	37
"TRPSYN-PWY: L-tryptophan biosynthesis"	"sick"	"CC"	"sickCC"	0.821488089189729	-0.575662398280219	0.191888331091935	1.02940758250902e-07	2.17305506526243e-06	1.02940758250902e-07	1.54344980022155e-06	NA	"abundance"	37	37
"HISTSYN-PWY: L-histidine biosynthesis"	"sick"	"CC"	"sickCC"	0.675226901167374	-0.575662398280219	0.169691219450652	1.24604813689366e-07	2.46094507036498e-06	1.24604813689366e-07	1.74792863647583e-06	NA	"abundance"	37	37
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)"	"sick"	"CC"	"sickCC"	0.575609045022226	-0.575662398280219	0.153476185231688	1.30089998662264e-07	2.49983754186134e-06	1.30089998662264e-07	1.77555268444441e-06	NA	"abundance"	37	37
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I"	"sick"	"CC"	"sickCC"	0.320182313569926	-0.575662398280219	0.108566393356655	1.48110418596303e-07	2.77122388478873e-06	1.48110418596303e-07	1.96830951029298e-06	NA	"abundance"	37	37
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)"	"sick"	"CC"	"sickCC"	0.504223856892394	-0.575662398280219	0.144530261402646	1.82982884844307e-07	3.33591874677698e-06	1.82982884844307e-07	2.36939376529167e-06	NA	"abundance"	37	37
"PANTO-PWY: phosphopantothenate biosynthesis I"	"sick"	"CC"	"sickCC"	0.260445840647713	-0.575662398280219	0.0997098938352875	2.00380782189313e-07	3.56176840341504e-06	2.00380782189313e-07	2.52980737514008e-06	NA	"abundance"	37	37
"PWY-6317: D-galactose degradation I (Leloir pathway)"	"sick"	"CC"	"sickCC"	0.340802427524961	-0.575662398280219	0.116140681969587	2.0940922840218e-07	3.63146247302317e-06	2.0940922840218e-07	2.57930878885612e-06	NA	"abundance"	37	37
"PWY-6151: S-adenosyl-L-methionine salvage I"	"sick"	"CC"	"sickCC"	0.643130414655621	-0.575662398280219	0.171207747066472	2.33913206582059e-07	3.86772767162428e-06	2.33913206582059e-07	2.74712021683581e-06	NA	"abundance"	37	37
"PWY-7851: coenzyme A biosynthesis II (eukaryotic)"	"sick"	"CC"	"sickCC"	0.647673281462911	-0.575662398280219	0.172491456378963	2.30040520854402e-07	3.86772767162428e-06	2.30040520854402e-07	2.74712021683581e-06	NA	"abundance"	37	37
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"	"sick"	"CC"	"sickCC"	0.603521031922838	-0.575662398280219	0.168017864084247	3.39727774800735e-07	5.48969199734825e-06	3.39727774800735e-07	3.89914832441753e-06	NA	"abundance"	37	37
